,WorldRank,Institution,Country,Nationa Rank,Total Score,Score Q1,Score CNCI,Score IC,Score TOP,Score Award,Subject,Year
0,1,Paris-Saclay University,../France,1,362.9,87.0,73.6,72.7,87.8,100.0,Mathematics,2020
1,2,Princeton University,../UnitedStates,1,354.3,71.4,88.9,64.4,100.0,81.2,Mathematics,2020
2,3,Sorbonne University,../France,2,308.3,100.0,72.0,72.6,95.6,26.1,Mathematics,2020
3,4,Stanford University,../UnitedStates,2,301.6,66.1,90.8,63.3,89.4,42.6,Mathematics,2020
4,5,University of Cambridge,../UnitedKingdom,1,301.4,63.2,88.8,77.1,73.7,60.3,Mathematics,2020
5,6,Massachusetts Institute of Technology (MIT),../UnitedStates,3,293.5,80.0,85.2,64.0,89.4,26.1,Mathematics,2020
6,7,University of Oxford,../UnitedKingdom,2,292.3,78.2,75.6,76.0,75.6,47.7,Mathematics,2020
7,8,New York University,../UnitedStates,4,288.4,62.0,94.0,68.2,58.6,60.3,Mathematics,2020
8,9,ETH Zurich,../Switzerland,1,271.9,71.3,78.4,81.3,63.2,42.6,Mathematics,2020
9,10,PSL University,../France,3,269.8,72.2,83.2,72.8,69.7,30.2,Mathematics,2020
10,11,"University of California, Los Angeles",../UnitedStates,5,268.5,63.6,83.1,65.4,71.7,36.9,Mathematics,2020
11,12,"University of California, Berkeley",../UnitedStates,6,258.5,71.0,76.2,62.9,77.5,21.3,Mathematics,2020
12,13,University of Bonn,../Germany,1,255.2,66.2,78.4,72.5,53.5,42.6,Mathematics,2020
13,14,University of Wisconsin - Madison,../UnitedStates,7,254.7,59.2,80.5,66.0,71.7,30.2,Mathematics,2020
14,15,The University of Texas at Austin,../UnitedStates,8,250.5,69.3,83.3,65.6,47.8,36.9,Mathematics,2020
15,16,Stony Brook University,../UnitedStates,9,249.9,45.1,78.9,67.8,69.7,42.6,Mathematics,2020
16,17,University of Warwick,../UnitedKingdom,3,244.3,58.0,72.1,77.8,56.1,42.6,Mathematics,2020
17,18,University of Chicago,../UnitedStates,10,242.4,62.9,83.6,65.4,82.8,0,Mathematics,2020
18,19,Harvard University,../UnitedStates,11,242.3,48.1,81.6,64.3,69.7,30.2,Mathematics,2020
19,20,Imperial College London,../UnitedKingdom,4,237.3,69.5,83.9,81.4,67.6,0,Mathematics,2020
20,21,Columbia University,../UnitedStates,12,226.8,57.5,88.7,65.1,67.6,0,Mathematics,2020
21,22,University of Paris,../France,4,226.7,66.8,71.8,71.9,73.7,0,Mathematics,2020
22,23,"Rutgers, The State University of New Jersey - New Brunswick",../UnitedStates,13,225.7,57.4,75.5,74.1,47.8,30.2,Mathematics,2020
23,24,Kyoto University,../Japan,1,222.0,56.2,67.2,59.6,65.5,21.3,Mathematics,2020
24,25,The Hebrew University of Jerusalem,../Israel,1,215.6,42.6,65.7,78.5,65.5,26.1,Mathematics,2020
25,26,KTH Royal Institute of Technology,../Sweden,1,212.8,48.5,70.1,79.2,41.4,36.9,Mathematics,2020
26,27,University of Illinois at Urbana-Champaign,../UnitedStates,14,210.7,60.7,67.4,67.4,47.8,21.3,Mathematics,2020
27,28,The University of Edinburgh,../UnitedKingdom,5,209.6,49.0,81.2,77.6,37.8,26.1,Mathematics,2020
28,29,"University of Maryland, College Park",../UnitedStates,15,205.8,55.7,80.0,70.5,56.1,0,Mathematics,2020
29,30,"University of Minnesota, Twin Cities",../UnitedStates,16,205.5,62.4,80.1,61.6,50.7,0,Mathematics,2020
30,31,"University of California, San Diego",../UnitedStates,17,204.4,53.3,74.5,69.5,41.4,21.3,Mathematics,2020
31,32,Ecole Normale Superieure - Lyon,../France,5,204.3,37.9,72.4,72.2,53.5,26.1,Mathematics,2020
32,33,University of Toronto,../Canada,1,203.8,58.9,68.1,79.5,60.9,0,Mathematics,2020
33,34,Brown University,../UnitedStates,18,203.4,57.6,84.9,65.9,47.8,0,Mathematics,2020
34,35,Northwestern University,../UnitedStates,19,202.8,44.7,83.3,58.1,63.2,0,Mathematics,2020
35,36,University of Vienna,../Austria,1,200.8,67.3,73.1,78.3,44.7,0,Mathematics,2020
36,37,Institut polytechnique de Paris,../France,6,199.6,66.7,73.3,74.1,44.7,0,Mathematics,2020
37,38,Rice University,../UnitedStates,20,199.1,47.7,84.7,66.0,53.5,0,Mathematics,2020
38,39,University of Michigan-Ann Arbor,../UnitedStates,21,199.0,65.8,67.8,60.2,53.5,0,Mathematics,2020
39,40,Texas A&M University,../UnitedStates,22,197.8,63.9,75.3,69.7,44.7,0,Mathematics,2020
40,41,Georgia Institute of Technology,../UnitedStates,23,196.4,63.5,74.4,68.8,44.7,0,Mathematics,2020
41,42,National University of Singapore,../Singapore,1,195.6,50.4,71.5,87.8,56.1,0,Mathematics,2020
