Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
1,Stanford University,United States,96.7,49.0,98.8,80.5,75.6,87.5,免费评估
2,伦敦大学学院University College London,United Kingdom,93.6,90.9,92.8,68.5,40.5,83.1,免费评估
3,Princeton University,United States,81.9,60.0,81.4,90.7,55.1,82.5,免费评估
4,University of Chicago,United States,89.6,46.0,95.0,77.6,37.3,82.3,免费评估
5,University of Pennsylvania,United States,78.8,47.3,98.4,78.0,66.2,81.2,免费评估
6,Duke University,United States,89.6,34.6,85.9,79.0,51.3,79.8,免费评估
7,Harvard University,United States,84.1,42.9,94.5,73.9,38.0,79.2,免费评估
8,"University of California, Los Angeles",United States,80.6,35.3,96.2,75.7,44.9,78.9,免费评估
9,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,81.1,93.2,66.3,84.5,45.6,78.3,免费评估
10,Yale University,United States,85.5,37.9,96.4,69.2,37.3,78.0,免费评估
11,University of Michigan-Ann Arbor,United States,79.5,34.9,91.6,75.8,39.8,77.2,免费评估
12,University of British Columbia,Canada,68.7,90.4,92.8,70.6,40.0,76.9,免费评估
13,Cornell University,United States,78.9,55.5,87.7,73.4,37.3,76.6,免费评估
14,Northwestern University,United States,76.5,26.2,91.9,73.4,83.7,76.0,免费评估
15,University of Washington,United States,79.3,39.4,89.7,70.5,37.3,75.0,免费评估
16,Columbia University,United States,87.4,59.4,79.6,62.6,43.7,73.4,免费评估
17,University of Minnesota,United States,74.2,29.1,84.3,71.9,89.6,73.2,免费评估
18,爱丁堡大学The University of Edinburgh,United Kingdom,73.0,86.4,73.0,72.8,37.3,73.1,免费评估
19,University of Toronto,Canada,71.2,65.5,87.8,63.9,40.0,72.0,免费评估
20,University of Amsterdam,Netherlands,70.4,52.0,79.1,74.1,38.6,71.9,免费评估
20,University of Wisconsin-Madison,United States,67.9,31.9,82.4,77.3,46.5,71.9,免费评估
22,New York University,United States,66.9,51.5,89.0,68.4,42.5,71.8,免费评估
23,Carnegie Mellon University,United States,53.6,49.1,75.0,88.7,37.3,71.0,免费评估
24,Karolinska Institute,Sweden,60.2,75.2,76.6,71.8,90.5,70.7,免费评估
25,Johns Hopkins University,United States,70.1,44.6,86.4,62.4,61.4,69.8,免费评估
26,University of Virginia (Main campus),United States,54.3,36.3,79.1,83.7,38.8,69.7,免费评估
27,University of North Carolina at Chapel Hill,United States,69.1,23.9,86.1,68.8,39.0,69.5,免费评估
28,Ohio State University (Main campus),United States,68.1,39.8,81.0,69.2,37.3,69.2,免费评估
29,University of Illinois at Urbana-Champaign,United States,71.5,30.6,79.4,69.3,42.7,69.1,免费评估
30,University of Texas at Austin,United States,67.7,25.7,81.7,69.9,44.1,68.6,免费评估
31,"University of California, San Diego",United States,66.2,42.0,80.3,65.0,92.2,68.5,免费评估
32,Michigan State University,United States,60.9,33.8,80.5,74.1,38.0,68.3,免费评估
33,Brown University,United States,71.8,41.3,76.0,62.9,38.2,66.7,免费评估
34,Pennsylvania State University (Main campus),United States,72.1,27.0,77.4,62.0,46.8,66.0,免费评估
35,McGill University,Canada,64.9,79.6,72.4,57.4,37.3,64.8,免费评估
36,LMU Munich,Germany,58.4,59.5,74.9,61.6,61.4,64.2,免费评估
37,University of Melbourne,Australia,48.0,77.8,71.1,67.1,51.3,63.4,免费评估
38,University of Groningen,Netherlands,43.2,78.0,74.6,64.5,80.5,62.8,免费评估
39,Washington University in St Louis,United States,61.7,27.1,68.9,65.9,54.9,62.4,免费评估
40,布里斯托大学University of Bristol,United Kingdom,49.8,79.0,52.9,76.6,49.6,62.2,免费评估
