Ranking,University Name,Teaching quality,Student Satisfaction,Research Assessment,Ucasentry-points,Graduate Prospects,Firsts/2:1s,Completion,Student-Staff Ratio,Services / facilities Spend,Total Scores,Free
1,剑桥大学University of Cambridge,82.9,85.5,57.3,600,88.3,91.0,98.5,11.0,3446,1000,免费评估
2,牛津大学University of Oxford,82.0,86.5,53.1,577,84.3,92.4,97.7,10.5,3130,968,免费评估
3,圣安德鲁斯大学University of St Andrews,88.4,91.0,40.4,524,83.3,90.7,95.5,11.6,2671,929,免费评估
4,杜伦大学Durham University,82.1,86.4,39.0,526,83.3,89.4,95.6,14.7,2683,857,免费评估
5,帝国理工学院Imperial College London,74.8,83.2,56.2,567,90.5,86.5,96.4,11.1,3170,840,免费评估
6,伦敦大学学院University College London,75.5,81.9,51.0,506,87.2,89.0,95.7,10.2,2727,838,免费评估
7,华威大学The University of Warwick,80.1,84.4,44.6,490,80.4,82.7,94.9,12.5,2566,813,免费评估
8,伦敦政治经济学院The London School of Economics and Political Science,68.5,73.1,52.8,540,84.6,86.6,97.6,11.6,2858,808,免费评估
9,埃克塞特大学University of Exeter,83.3,87.9,38.0,471,80.2,84.8,96.0,15.8,2537,807,免费评估
9,兰卡斯特大学Lancaster University,82.3,87.8,39.1,421,82.5,76.8,92.8,13.4,2827,807,免费评估
11,拉夫堡大学Loughborough University,81.9,87.9,36.3,411,85.3,81.7,94.9,14.6,2582,793,免费评估
12,巴斯大学University of Bath,81.6,85.1,37.3,481,85.4,84.5,96.3,15.5,2210,786,免费评估
13,利兹大学University of Leeds,82.7,87.8,36.8,436,81.4,83.3,93.5,13.5,2604,780,免费评估
14,萨里大学University of Surrey,83.7,87.3,29.7,424,81.1,80.7,91.6,13.9,2697,774,免费评估
15,东英吉利大学University of East Anglia,83.0,87.4,35.8,423,74.2,83.4,92.2,13.2,2653,769,免费评估
16,伯明翰大学University of Birmingham,80.8,84.4,37.1,429,85.3,86.1,94.8,14.0,2531,761,免费评估
17,约克大学The University of York,83.8,87.5,38.3,431,77.0,80.5,93.3,14.5,2144,758,免费评估
18,萨塞克斯大学University of Sussex,79.7,86.0,31.8,375,86.2,79.1,91.1,15.3,2722,744,免费评估
