Ranking,University Name,Student Satisfaction,Research Assessment,Ucasentry-points,Graduate Prospects,Firsts/2:1s,Completion,Student-Staff Ratio,Services / facilities Spend,Total Scores,Free
1,牛津大学University of Oxford,84%,6.2,11.6,2884,502,98.6%,90.1%,83.9%,1000,免费评估
2,剑桥大学University of Cambridge,/,6.5,12.2,2299,518,97.9%,85.4%,88.4%,950,免费评估
3,帝国理工学院Imperial College London,76%,5.8,10.4,3218,473,96%,69.1%,89.3%,865,免费评估
4,伦敦政治经济学院The London School of Economics and Political Science,74%,6.3,12.6,1562,469,96.9%,75.2%,87.7%,818,免费评估
5,圣安德鲁斯大学University of St Andrews,82%,5.3,12.6,1162,446,94.8%,83.9%,73.7%,791,免费评估
6,华威大学The University of Warwick,76%,5.6,13.6,1881,448,96.7%,79.4%,74.9%,775,免费评估
7,伦敦大学学院University College London,76%,5.5,9.1,1702,434,94.3%,75.1%,81.5%,767,免费评估
8,杜伦大学Durham University,78%,5.2,15.4,1375,447,96.4%,78.8%,75.9%,760,免费评估
9,约克大学The University of York,77%,5.5,13.1,1313,423,95.2%,74.7%,70.5%,736,免费评估
10,布里斯托大学University of Bristol,75%,5.2,14.7,1535,430,95.8%,78.4%,81.5%,724,免费评估
11,伦敦国王学院King's College London,77%,4.7,11.9,1696,406,93.2%,72.1%,80.4%,715,免费评估
12,拉夫堡大学Loughborough University,83%,4.3,17.1,1293,361,94%,67.4%,73.2%,709,免费评估
13,埃克塞特大学University of Exeter,81%,4.7,16.8,1183,381,94.8%,79.8%,68.5%,708,免费评估
14,莱斯特大学University of Leicester,83%,4.5,14.5,1329,360,92.9%,69%,72.3%,706,免费评估
15,巴斯大学University of Bath,75%,5.2,16.6,1291,428,95.3%,77.3%,81%,701,免费评估
16,南安普顿大学University of Southampton,79%,5.4,16.3,1479,389,90.7%,74.8%,71.8%,696,免费评估
16,诺丁汉大学University of Nottingham,75%,5.0,13.8,1390,403,96.2%,75.7%,76%,696,免费评估
