Ranking,University Name,Student Satisfaction,Research Assessment,Student-Staff Ratio,Entry Standards,Completion,Good Honors,Graduate Prospects,Total Scores,Free
1,剑桥大学University of Cambridge,86.2,45.0,11.6,610,98.8,89.4,85.1,1000,免费评估
2,牛津大学University of Oxford,85.9,44.3,11.1,583,98.4,90.9,78.3,999,免费评估
3,伦敦政治经济学院The London School of Economics and Political Science,80.9,38.7,11.1,542,97.0,81.3,77.1,892,免费评估
4,圣安德鲁斯大学University of St Andrews,85.9,28.0,12.6,524,96.8,88.8,80.5,868,免费评估
5,帝国理工学院Imperial College London,83.2,33.0,11.7,567,97.0,84.6,89.2,860,免费评估
6,杜伦大学Durham University,83.9,29.7,15.1,510,96.1,83.9,82.6,848,免费评估
7,巴斯大学University of Bath,87.9,23.3,16.8,480,96.8,82.8,83.6,814,免费评估
8,埃克塞特大学University of Exeter,86.0,28.0,17.8,470,97.1,83.8,77.1,810,免费评估
9,伦敦大学学院University College London,78.5,33.0,10.2,511,96.7,84.2,79.8,798,免费评估
10,华威大学The University of Warwick,81.5,29.0,14.3,506,95.7,79.6,78.3,785,免费评估
11,约克大学The University of York,84.1,29.0,15.5,457,95.1,78.1,73.9,776,免费评估
12,萨里大学University of Surrey,86.2,20.3,16.6,418,92.7,74.7,75.6,755,免费评估
12,兰卡斯特大学Lancaster University,83.8,28.3,15.4,439,94.7,73.0,72.7,755,免费评估
14,莱斯特大学University of Leicester,84.0,20.0,12.9,413,93.7,75.5,71.6,744,免费评估
15,布里斯托大学University of Bristol,80.0,29.7,14.2,487,97.4,84.0,79.1,742,免费评估
16,伯明翰大学University of Birmingham,81.8,24.0,14.8,444,95.1,78.8,80.8,741,免费评估
17,东英吉利大学University of East Anglia,87.1,21.0,13.5,418,91.3,71.6,68.7,738,免费评估
18,纽卡斯尔大学Newcastle University,84.6,21.7,15.3,438,94.9,78.3,79.0,726,免费评估
18,谢菲尔德大学The University of Sheffield,84.6,27.3,15.5,442,95.3,77.5,71.7,726,免费评估
20,南安普顿大学University of Southampton,81.8,23.0,13.7,438,93.3,77.6,75.2,723,免费评估
21,拉夫堡大学Loughborough University,83.6,24.7,16.9,411,93.4,73.3,75.4,722,免费评估
22,爱丁堡大学The University of Edinburgh,76.4,32.7,13.9,489,90.7,82.6,75.3,716,免费评估
23,诺丁汉大学University of Nottingham,81.9,24.0,14.0,439,94.0,76.5,77.0,715,免费评估
24,伦敦大学亚非学院SOAS University of London,79.7,21.7,11.8,437,87.1,80.6,66.8,713,免费评估
25,格拉斯哥大学University of Glasgow,83.1,24.3,16.4,477,88.8,74.5,74.6,702,免费评估
26,曼彻斯特大学The University of Manchester,81.1,28.7,14.8,457,93.4,72.0,71.9,688,免费评估
27,伦敦国王学院King's College London,76.8,23.3,11.7,467,92.8,80.6,82.0,687,免费评估
28,伦敦大学皇家霍洛威学院Royal Holloway University of London,82.2,27.7,16.2,400,93.2,73.7,63.9,685,免费评估
29,阿斯顿大学Aston University,84.6,13.3,16.2,398,91.1,73.5,73.6,682,免费评估
29,英国女王大学Queen's University Belfast,85.4,18.7,15.6,388,91.9,71.7,74.8,682,免费评估
29,利兹大学University of Leeds,83.2,22.7,16.8,428,93.2,79.5,69.2,682,免费评估
32,萨塞克斯大学University of Sussex,82.2,25.7,17.1,407,92.4,79.6,54.4,675,免费评估
33,卡迪夫大学Cardiff University,82.3,21.0,14.2,433,93.1,74.5,77.6,670,免费评估
33,肯特大学University of Kent,82.4,17.0,14.6,380,90.5,73.5,70.7,670,免费评估
35,雷丁大学University of Reading,82.3,22.7,15.6,378,90.4,74.6,69.2,669,免费评估
36,利物浦大学The University of Liverpool,81.5,20.0,13.3,420,91.7,72.8,71.5,667,免费评估
37,伦敦大学玛丽女王学院Queen Mary University of London,81.3,23.0,12.2,417,89.0,68.1,69.7,656,免费评估
38,赫瑞瓦特大学Heriot Watt University,84.2,18.0,18.3,391,84.8,69.3,77.7,641,免费评估
39,埃塞克斯大学University of Essex,85.4,22.7,16.4,342,85.6,60.7,51.8,637,免费评估
40,阿伯丁大学University of Aberdeen,81.7,20.7,16.4,443,81.6,72.0,75.8,634,免费评估
41,白金汉大学The University of Buckingham,86.3,,11.4,310,79.5,43.9,83.1,629,免费评估
42,思克莱德大学University of Strathclyde,79.9,16.7,18.3,465,83.5,75.1,74.3,628,免费评估
43,伦敦城市大学City University London,81.1,14.3,18.6,390,87.2,69.9,71.0,617,免费评估
44,基尔大学Keele University,85.6,12.7,16.5,356,89.8,70.0,68.1,615,免费评估
45,考文垂大学Coventry University,86.9,2.3,14.6,294,83.6,66.1,71.0,610,免费评估
46,布鲁内尔大学Brunel University,83.3,17.0,17.5,357,87.1,62.5,60.5,609,免费评估
47,斯旺西大学Swansea University,79.7,16.0,16.1,360,88.2,63.8,77.5,596,免费评估
48,伦敦大学金史密斯学院Goldsmiths University of London,82.0,24.7,19.2,370,84.6,73.5,52.6,589,免费评估
49,邓迪大学University of Dundee,81.7,15.7,14.4,396,78.9,69.3,71.8,582,免费评估
50,牛津布鲁克斯大学Oxford Brookes University,82.2,5.7,17.3,352,89.4,68.9,63.6,575,免费评估
51,斯特林大学University of Stirling,80.3,13.7,18.3,374,81.3,63.0,63.5,550,免费评估
52,罗伯特高登大学The Robert Gordon University,81.3,5.3,19.7,350,81.9,62.5,81.8,549,免费评估
52,切斯特大学University of Chester,82.8,1.0,16.3,296,81.2,62.4,69.4,549,免费评估
52,伯恩茅斯艺术大学Arts University Bournemouth,83.6,0.3,19.3,316,92.4,57.8,68.7,549,免费评估
55,朴茨茅斯大学University of Portsmouth,82.2,5.3,19.2,316,87.2,67.3,63.4,546,免费评估
56,班戈大学Bangor University,81.3,16.0,17.9,313,84.7,60.1,64.4,545,免费评估
57,温切斯特大学University of Winchester,83.8,4.0,17.7,307,88.9,63.0,53.0,543,免费评估
57,林肯大学University of Lincoln,80.8,5.0,19.4,324,87.4,60.7,68.4,543,免费评估
59,北安普顿大学The University of Northampton,83.7,1.3,20.0,299,81.9,61.0,57.9,540,免费评估
60,西英格兰大学University of the West of England,80.9,4.7,21.7,322,84.7,69.6,68.0,535,免费评估
61,诺丁汉特伦特大学Nottingham Trent University,81.4,4.3,20.0,321,86.2,63.0,61.7,532,免费评估
62,诺桑比亚大学Northumbria University,81.2,2.7,17.1,331,87.2,59.3,61.8,531,免费评估
63,赫尔大学The University of Hull,83.2,11.0,19.8,344,86.0,58.3,54.8,529,免费评估
64,哈珀亚当斯大学Harper Adams University,84.5,2.0,22.2,332,86.2,52.3,67.2,528,免费评估
64,约克圣约翰大学York St John University,84.3,1.0,20.9,301,88.6,61.5,61.7,528,免费评估
66,哈德斯菲尔德大学University of Huddersfield,83.1,2.0,18.4,317,80.3,60.9,67.6,527,免费评估
67,伯恩茅斯大学Bournemouth University,78.3,4.3,21.5,345,87.2,68.4,63.9,523,免费评估
68,奇切斯特大学University of Chichester,82.1,1.7,18.8,307,90.7,60.1,59.4,522,免费评估
69,艾芝西尔大学Edge Hill University,83.8,0.7,17.2,307,83.7,56.9,60.7,519,免费评估
70,巴斯斯巴大学Bath Spa University,82.0,3.0,21.8,339,87.1,68.6,57.3,514,免费评估
71,"圣马克与圣约翰大学University of St Mark & St John, Plymouth",86.3,0.3,20.5,253,87.2,51.7,63.7,513,免费评估
71,玛格丽特女王大学Queen Margaret University,78.7,3.3,20.5,332,80.4,73.4,69.7,513,免费评估
73,纽曼大学Newman University,85.4,0.3,18.4,307,78.3,56.8,60.0,512,免费评估
73,普利茅斯大学University of Plymouth,81.3,6.7,16.7,315,86.2,61.9,57.3,512,免费评估
73,阿尔斯特大学University of Ulster,83.4,11.0,18.6,284,83.1,60.3,50.7,512,免费评估
76,布莱顿大学University of Brighton,81.0,9.7,19.0,304,85.4,65.3,58.6,510,免费评估
77,法尔茅斯大学Falmouth University,77.8,2.0,23.9,289,88.0,64.4,60.2,499,免费评估
77,谢菲尔德哈莱姆大学Sheffield Hallam University,79.6,4.0,20.0,316,86.5,63.1,57.8,499,免费评估
77,伦敦艺术大学University of the Arts London,74.3,20.3,22.4,316,90.9,65.0,53.7,499,免费评估
80,罗汉普顿大学Roehampton University,81.1,7.7,20.0,275,83.1,59.9,53.3,498,免费评估
81,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,78.9,3.0,21.4,356,81.1,65.9,65.3,493,免费评估
82,亚伯大学Aberystwyth University,76.9,20.3,19.4,327,86.5,58.5,53.9,492,免费评估
83,利物浦约翰摩尔斯大学Liverpool John Moores University,81.4,3.7,21.6,327,83.6,68.0,55.0,489,免费评估
84,布拉德福德大学University of Bradford,79.7,10.0,19.4,311,82.8,52.8,69.8,488,免费评估
84,德比大学University of Derby,83.8,1.0,18.8,288,80.3,54.7,55.6,488,免费评估
86,德蒙福特大学De Montfort University,80.6,6.0,20.2,313,85.2,61.4,53.0,482,免费评估
87,卡迪夫都市大学Cardiff Metropolitan University,82.0,3.3,23.4,312,84.4,59.1,52.0,481,免费评估
88,中央兰开夏大学University of Central Lancashire,81.2,3.7,19.0,298,79.1,54.6,54.6,476,免费评估
89,曼彻斯特城市大学Manchester Metropolitan University,79.3,4.3,19.2,333,81.0,61.8,57.8,475,免费评估
90,坎特伯雷大学Canterbury Christ Church University,80.5,1.7,19.5,273,85.2,62.7,57.9,471,免费评估
91,格罗斯特大学University of Gloucestershire,78.4,2.0,22.3,295,84.4,62.6,61.1,469,免费评估
91,伯明翰城市大学Birmingham City University,78.7,2.3,21.0,323,81.9,59.1,62.4,469,免费评估
93,蒂赛德大学Teesside University,83.0,1.7,20.1,321,79.1,56.0,54.1,465,免费评估
94,米德塞斯大学Middlesex University,79.7,5.0,23.0,250,76.9,55.3,52.8,464,免费评估
95,哥比亚大学University of Cumbria,81.0,0.3,18.6,253,82.6,65.7,59.2,462,免费评估
96,桑德兰大学University of Sunderland,81.4,4.7,17.0,272,78.4,52.6,49.6,461,免费评估
96,赫特福德大学University of Hertfordshire,77.0,3.3,19.5,312,80.1,61.6,62.4,461,免费评估
98,索尔福德大学University of Salford,76.5,9.3,17.6,300,82.4,61.4,60.0,458,免费评估
99,创意艺术大学University for the Creative Arts,74.3,5.0,17.1,307,82.1,56.3,51.2,453,免费评估
100,龙比亚大学Napier University,80.4,3.0,23.8,325,75.2,66.5,62.8,452,免费评估
101,格林威治大学The University of Greenwich,82.0,3.0,21.3,286,77.3,57.3,53.1,451,免费评估
102,伍斯特大学University of Worcester,79.2,0.3,23.6,281,85.9,60.8,63.8,448,免费评估
103,利兹都会大学Leeds Metropolitan University,79.0,2.0,20.7,278,80.2,57.5,60.3,443,免费评估
104,利兹圣三一大学Leeds Trinity University,81.9,1.7,23.3,286,80.6,50.8,57.9,441,免费评估
105,阿伯泰邓迪大学University of Abertay Dundee,78.1,3.0,24.0,315,71.6,59.9,67.0,435,免费评估
106,威斯敏斯特大学University of Westminster,76.0,5.0,20.8,327,80.9,60.3,53.7,433,免费评估
106,格罗斯泰斯特主教大学Bishop Grosseteste University,81.8,0.3,32.9,247,91.6,58.9,66.4,433,免费评估
