Ranking,University Name,Student Satisfaction,Research Assessment,Student-Staff Ratio,Services / facilities Spend,Entry Standards,Completion,Good Honors,Graduate Prospects,Total Scores,Free
1,牛津大学University of Oxford,85%,4.2/9,10.8,3168,532,98.50%,91.80%,82.80%,1000,免费评估
2,剑桥大学University of Cambridge,85%,4.3/9,11.6,2635,547,98.60%,87.30%,82.30%,965,免费评估
3,帝国理工学院Imperial College London,76%,3.1/9,10.4,4090,504,95.10%,72.70%,88.90%,851,免费评估
4,圣安德鲁斯大学University of St Andrews,84%,2.8/9,13.4,1856,455,94.90%,85.60%,74.40%,798,免费评估
5,伦敦政治经济学院The London School of Economics and Political Science,72%,3.7/9,13.2,2232,494,95.20%,76.50%,81.90%,789,免费评估
6,杜伦大学Durham University,81%,3.0/9,15.4,2084,468,97.80%,79.00%,77.80%,788,免费评估
7,伦敦大学学院University College London,78%,3.2/9,8.9,2124,458,94.80%,81.00%,80.80%,784,免费评估
8,华威大学The University of Warwick,79%,2.8/9,13.0,1927,464,95.40%,79.90%,77.90%,766,免费评估
9,约克大学The University of York,81%,2.9/9,13.7,1920,423,94.90%,75.30%,71.50%,748,免费评估
10,兰卡斯特大学Lancaster University,80%,2.8/9,13.4,1746,393,94.10%,68.30%,77.60%,737,免费评估
11,爱丁堡大学The University of Edinburgh,74%,3.2/9,13.3,2572,439,92.00%,80.20%,76.20%,733,免费评估
12,埃克塞特大学University of Exeter,84%,2.8/9,18.4,1732,408,95.80%,79.60%,66.80%,723,免费评估
13,巴斯大学University of Bath,80%,2.3/9,15.7,1610,451,94.80%,74.20%,80.90%,714,免费评估
14,布里斯托大学University of Bristol,74%,3.0/9,13.6,2015,448,95.10%,78.60%,78.30%,706,免费评估
15,莱斯特大学University of Leicester,85%,2.2/9,14.4,1618,372,92.60%,71.60%,74.20%,691,免费评估
16,伦敦国王学院King's College London,76%,2.3/9,11.1,2060,421,94.10%,75.60%,80.50%,687,免费评估
16,拉夫堡大学Loughborough University,85%,2.5/9,18.0,1288,370,93.80%,69.90%,71.30%,687,免费评估
18,谢菲尔德大学The University of Sheffield,80%,2.7/9,13.8,1488,411,92.10%,72.80%,72.30%,686,免费评估
19,南安普顿大学University of Southampton,79%,2.3/9,13.4,1854,407,92.60%,74.40%,76.30%,682,免费评估
20,诺丁汉大学University of Nottingham,78%,2.4/9,13.6,1574,412,94.50%,75.00%,75.70%,679,免费评估
21,萨塞克斯大学University of Sussex,78%,2.6/9,15.2,1428,371,90.80%,80.00%,72.60%,674,免费评估
22,伯明翰大学University of Birmingham,79%,2.4/9,15.1,1893,404,93.30%,72.20%,69.90%,661,免费评估
23,东英吉利大学University of East Anglia,83%,2.1/9,15.3,1617,366,90.30%,71.20%,69.10%,658,免费评估
23,格拉斯哥大学University of Glasgow,81%,2.4/9,14.0,1888,399,84.30%,70.30%,72.10%,658,免费评估
25,纽卡斯尔大学Newcastle University,79%,2.2/9,15.0,1624,399,92.90%,72.00%,72.40%,651,免费评估
26,利兹大学University of Leeds,78%,2.3/9,14.1,1484,397,92.60%,74.20%,70.50%,648,免费评估
27,伦敦大学亚非学院SOAS University of London,73%,2.2/9,11.2,2016,387,87.90%,73.10%,73.10%,643,免费评估
28,利物浦大学The University of Liverpool,77%,2.1/9,12.5,1994,403,89.60%,71.10%,70.60%,641,免费评估
29,阿斯顿大学Aston University,80%,1.4/9,17.8,1718,364,91.60%,70.10%,75.20%,630,免费评估
30,曼彻斯特大学The University of Manchester,73%,2.8/9,13.5,1777,416,92.30%,70.30%,71.10%,629,免费评估
31,伦敦大学皇家霍洛威学院Royal Holloway University of London,76%,2.8/9,14.8,1495,366,93.10%,70.90%,62.70%,623,免费评估
