Ranking,University Name,Teaching quality,Student Satisfaction,Research Assessment,Ucasentry-points,Graduate Prospects,Firsts/2:1s,Completion,Student-Staff Ratio,Services / facilities Spend,Total Scores,Free
1,剑桥大学University of Cambridge,,,57.3,225,86.8,92.6,98.6,11.0,3708,1000,免费评估
2,牛津大学University of Oxford,,,53.1,217,83.5,93.7,98.5,10.5,3455,971,免费评估
3,圣安德鲁斯大学University of St Andrews,86.2,85.2,40.4,206,79.6,90.1,96.0,11.6,2721,898,免费评估
4,帝国理工学院Imperial College London,75.1,78.8,56.2,219,90.4,90.2,96.6,11.4,3656,871,免费评估
5,拉夫堡大学Loughborough University,82.5,84.5,36.3,162,86.9,84.3,92.3,13.8,3047,818,免费评估
6,兰卡斯特大学Lancaster University,81.4,81.8,39.1,158,89.1,76.5,92.6,12.7,3244,817,免费评估
7,杜伦大学Durham University,78.8,75.9,39.0,198,84.9,90.8,96.1,14.9,2888,813,免费评估
8,伦敦大学学院University College London,72.8,73.2,51.0,191,83.8,90.8,94.1,10.3,2733,788,免费评估
9,伦敦政治经济学院The London School of Economics and Political Science,66.1,64.5,52.8,204,86.2,88.8,96.0,11.9,3023,786,免费评估
10,华威大学The University of Warwick,77.8,78.4,44.6,182,83.2,84.4,96.1,12.8,2563,785,免费评估
11,利兹大学University of Leeds,81.3,81.6,36.8,168,81.2,86.6,92.5,13.2,3110,778,免费评估
12,埃克塞特大学University of Exeter,80.6,80.9,38.0,176,85.5,86.3,95.4,16.1,2745,777,免费评估
13,巴斯大学University of Bath,79.0,80.7,37.3,186,87.5,86.2,95.1,15.8,2486,766,免费评估
14,伯明翰大学University of Birmingham,79.2,78.2,37.1,166,85.8,85.8,94.5,14.8,2840,731,免费评估
15,东英吉利大学University of East Anglia,79.0,78.5,35.8,153,77.1,87.8,90.6,13.4,3005,719,免费评估
16,诺丁汉大学University of Nottingham,78.9,77.9,37.8,164,86.0,84.9,93.3,13.9,2508,716,免费评估
17,格拉斯哥大学University of Glasgow,79.1,79.6,39.9,201,85.3,84.1,88.6,14.9,2316,714,免费评估
18,南安普顿大学University of Southampton,78.7,78.1,44.9,159,82.1,82.4,92.4,12.9,2220,708,免费评估
19,布里斯托大学University of Bristol,75.7,74.1,47.3,184,80.6,89.3,95.6,13.6,2139,702,免费评估
19,曼彻斯特大学The University of Manchester,77.1,76.6,39.8,168,80.7,81.7,93.0,13.4,2898,702,免费评估
21,纽卡斯尔大学Newcastle University,78.8,79.1,37.7,161,85.8,81.3,94.7,13.8,2200,697,免费评估
22,约克大学The University of York,81.3,79.3,38.3,160,82.0,80.6,92.5,14.6,1909,692,免费评估
23,萨里大学University of Surrey,78.6,79.2,29.7,164,81.0,85.3,90.6,15.7,2714,684,免费评估
24,伦敦大学皇家霍洛威学院Royal Holloway University of London,80.3,78.3,36.3,142,73.5,80.0,93.0,15.2,2530,679,免费评估
25,谢菲尔德大学The University of Sheffield,78.4,80.3,37.6,156,84.4,80.6,93.0,14.7,2334,676,免费评估
26,阿伯丁大学University of Aberdeen,79.6,79.9,29.9,182,80.9,85.4,89.5,15.4,2369,672,免费评估
27,邓迪大学University of Dundee,83.0,82.0,31.2,174,81.7,81.2,87.1,14.5,2203,668,免费评估
28,爱丁堡大学The University of Edinburgh,72.8,72.4,43.8,182,77.5,86.5,92.0,12.6,2195,667,免费评估
29,埃塞克斯大学University of Essex,80.4,79.7,37.2,117,74.3,78.8,86.2,16.3,3408,664,免费评估
30,斯旺西大学Swansea University,80.7,81.5,33.7,138,85.6,77.8,90.2,15.4,2375,662,免费评估
31,利物浦大学The University of Liverpool,79.5,80.0,31.5,146,85.4,79.3,90.5,13.5,2302,659,免费评估
32,卡迪夫大学Cardiff University,78.5,77.3,35.0,155,81.7,78.9,92.4,13.5,2267,646,免费评估
33,创意艺术大学University for the Creative Arts,84.4,80.7,3.4,142,72.7,74.1,83.6,13.2,2657,643,免费评估
