Ranking,University Name,Student Satisfaction,Research Assessment,Ucasentry-points,Graduate Prospects,Firsts/2:1s,Completion,Student-Staff Ratio,Services / facilities Spend,Total Scores,Free
1,剑桥大学University of Cambridge,85.6,45.0,616,88.7,88.6,98.9,11.6,3246,1000,免费评估
1,牛津大学University of Oxford,85.4,44.3,580,82.6,91.5,98.9,11.0,3506,1000,免费评估
3,圣安德鲁斯大学University of St Andrews,86.3,28.0,523,79.1,88.3,96.9,11.8,2346,873,免费评估
4,帝国理工学院Imperial College London,83.5,33.0,576,89.9,85.9,97.1,11.7,2833,855,免费评估
5,伦敦政治经济学院The London School of Economics and Political Science,78.3,38.7,537,83.4,79.3,96.3,11.8,2381,848,免费评估
6,杜伦大学Durham University,85.3,29.7,525,79.5,84.8,95.8,15.6,2544,847,免费评估
7,埃克塞特大学University of Exeter,86.4,28.0,459,79.6,84.6,96.5,16.6,2356,820,免费评估
8,华威大学The University of Warwick,84.0,29.0,510,78.1,81.0,95.7,13.9,2314,811,免费评估
9,伦敦大学学院University College London,79.0,33.0,521,81.8,86.7,93.6,10.2,2453,801,免费评估
10,巴斯大学University of Bath,87.1,23.3,489,85.4,80.2,95.2,16.6,1784,795,免费评估
11,萨里大学University of Surrey,86.9,20.3,422,81.8,79.0,91.0,15.4,2167,781,免费评估
12,兰卡斯特大学Lancaster University,84.2,28.3,448,78.0,77.6,93.9,14.9,1752,771,免费评估
13,拉夫堡大学Loughborough University,85.7,24.7,406,80.0,78.0,93.5,15.6,1956,761,免费评估
14,东英吉利大学University of East Anglia,86.5,21.0,431,70.3,74.3,92.2,13.0,2229,757,免费评估
15,伯明翰大学University of Birmingham,82.8,24.0,439,84.3,81.1,94.2,14.5,2375,751,免费评估
16,约克大学The University of York,82.6,29.0,446,73.8,80.0,93.2,15.0,1995,742,免费评估
17,利兹大学University of Leeds,84.3,22.7,434,74.8,81.0,94.4,14.7,2068,737,免费评估
18,南安普顿大学University of Southampton,82.2,23.0,431,77.9,78.4,92.5,12.8,2058,735,免费评估
19,布里斯托大学University of Bristol,80.4,29.7,483,80.2,83.1,95.5,14.1,2030,730,免费评估
20,莱斯特大学University of Leicester,83.2,20.0,401,73.9,79.0,93.1,12.9,2384,729,免费评估
21,谢菲尔德大学The University of Sheffield,83.0,27.3,439,76.9,78.5,93.9,14.9,1801,717,免费评估
22,爱丁堡大学The University of Edinburgh,77.4,32.7,489,78.1,83.7,90.4,13.8,2188,716,免费评估
22,纽卡斯尔大学Newcastle University,85.3,21.7,438,78.8,76.9,94.2,15.2,1762,716,免费评估
22,诺丁汉大学University of Nottingham,82.2,24.0,442,79.2,78.0,94.0,14.1,1961,716,免费评估
25,萨塞克斯大学University of Sussex,82.1,25.7,411,76.1,76.3,90.5,16.5,2114,712,免费评估
26,格拉斯哥大学University of Glasgow,83.9,24.3,487,79.9,74.5,87.4,15.2,2131,710,免费评估
27,卡迪夫大学Cardiff University,83.0,21.0,423,81.7,78.0,95.6,13.0,1442,700,免费评估
28,曼彻斯特大学The University of Manchester,81.9,28.7,443,75.7,73.8,93.2,13.9,1734,695,免费评估
29,伦敦国王学院King's College London,78.7,23.3,470,80.1,81.1,92.5,11.4,2090,694,免费评估
30,肯特大学University of Kent,84.1,17.0,372,75.2,74.7,91.4,13.6,1376,693,免费评估
31,伦敦大学亚非学院SOAS University of London,79.8,21.7,422,64.2,84.0,85.6,11.6,2027,688,免费评估
32,埃塞克斯大学University of Essex,85.7,22.7,343,65.2,64.7,86.6,16.1,2401,684,免费评估
33,雷丁大学University of Reading,83.7,22.7,376,71.8,72.5,91.4,14.7,1594,682,免费评估
34,阿斯顿大学Aston University,84.0,13.3,381,77.1,75.2,91.6,16.2,1735,675,免费评估
34,伦敦大学皇家霍洛威学院Royal Holloway University of London,82.4,27.7,405,62.8,74.0,92.3,15.4,1462,675,免费评估
36,利物浦大学The University of Liverpool,79.8,20.0,414,72.7,76.8,92.5,12.7,2134,656,免费评估
37,伦敦大学玛丽女王学院Queen Mary University of London,80.0,23.0,424,70.3,70.3,90.8,12.0,2233,654,免费评估
38,英国女王大学Queen's University Belfast,83.3,18.7,391,75.1,72.6,92.2,15.5,1739,651,免费评估
39,思克莱德大学University of Strathclyde,82.3,16.7,470,77.9,74.4,85.7,19.3,1753,644,免费评估
40,基尔大学Keele University,87.1,12.7,384,72.3,67.5,89.2,15.2,1131,631,免费评估
41,赫瑞瓦特大学Heriot Watt University,82.9,18.0,424,73.2,70.5,82.4,16.4,1736,630,免费评估
42,考文垂大学Coventry University,88.4,2.3,313,71.2,66.1,87.6,15.3,1355,623,免费评估
43,斯旺西大学Swansea University,81.5,16.0,341,78.6,70.7,90.1,15.5,1680,619,免费评估
44,阿伯丁大学University of Aberdeen,80.4,20.7,444,74.3,71.0,82.5,15.5,1859,616,免费评估
45,邓迪大学University of Dundee,84.6,15.7,409,70.7,71.7,84.2,14.9,1422,615,免费评估
46,伦敦城市大学City University London,80.0,14.3,394,74.2,69.6,87.4,17.5,2023,605,免费评估
47,布鲁内尔大学Brunel University,84.4,17.0,352,60.0,63.4,86.0,16.9,1741,597,免费评估
48,白金汉大学The University of Buckingham,85.1,,330,75.3,43.5,80.2,11.3,1894,595,免费评估
49,牛津布鲁克斯大学Oxford Brookes University,83.3,5.7,369,67.9,69.6,89.1,16.9,1416,586,免费评估
50,班戈大学Bangor University,85.4,16.0,305,66.6,61.2,85.1,17.8,1169,573,免费评估
51,法尔茅斯大学Falmouth University,81.1,2.0,316,70.9,70.4,88.6,23.0,1877,565,免费评估
52,诺丁汉特伦特大学Nottingham Trent University,83.1,4.3,320,63.6,66.6,86.9,17.2,1568,564,免费评估
53,斯特林大学University of Stirling,80.3,13.7,380,70.5,62.8,83.3,15.7,1517,562,免费评估
54,德蒙福特大学De Montfort University,82.4,6.0,313,69.1,66.5,87.4,18.1,1571,560,免费评估
55,伦敦大学金史密斯学院Goldsmiths University of London,79.2,24.7,346,55.7,76.7,82.6,16.9,1052,558,免费评估
56,北安普顿大学The University of Northampton,85.3,1.3,280,60.2,61.1,84.1,19.8,2439,556,免费评估
57,朴茨茅斯大学University of Portsmouth,83.0,5.3,314,66.3,71.2,88.1,18.6,1431,555,免费评估
58,赫尔大学The University of Hull,83.0,11.0,333,63.5,66.7,85.4,17.8,1472,552,免费评估
59,伯恩茅斯艺术大学Arts University Bournemouth,82.3,0.3,331,66.2,62.6,90.4,14.9,640,551,免费评估
