Ranking,University Name,Student Satisfaction,Research Assessment,Student-Staff Ratio,Entry Standards,Completion,Good Honors,Graduate Prospects,Total Scores,Free
1,牛津大学University of Oxford,86.0,4.0,10.8,536,97.9,91.2,85.0,1000,免费评估
2,剑桥大学University of Cambridge,84.0,4.1,11.7,559,98.7,88.3,85.5,968,免费评估
3,伦敦政治经济学院The London School of Economics and Political Science,74.0,3.6,11.8,513,95.7,79.0,84.1,870,免费评估
4,帝国理工学院Imperial College London,77.0,3.0,10.9,519,91.2,76.2,86.7,835,免费评估
5,伦敦大学学院University College London,78.0,3.0,9.7,477,94.9,83.2,81.1,819,免费评估
6,圣安德鲁斯大学University of St Andrews,83.0,2.6,13.3,485,93.8,86.7,76.3,815,免费评估
6,杜伦大学Durham University,81.0,2.8,15.3,487,96.7,79.4,80.4,815,免费评估
8,华威大学The University of Warwick,80.0,2.7,14.1,480,95.5,80.7,72.5,779,免费评估
9,兰卡斯特大学Lancaster University,81.0,2.7,13.8,407,93.8,73.6,71.8,766,免费评估
10,埃克塞特大学University of Exeter,83.0,2.6,19.0,439,96.5,82.8,70.3,762,免费评估
11,约克大学The University of York,82.0,2.7,14.9,437,95.4,75.6,68.2,759,免费评估
12,巴斯大学University of Bath,80.0,2.2,16.1,459,96.4,76.6,77.9,745,免费评估
13,布里斯托大学University of Bristol,77.0,2.8,13.5,467,96.0,80.8,77.7,740,免费评估
14,萨塞克斯大学University of Sussex,81.0,2.4,16.1,380,91.7,82.7,69.3,731,免费评估
15,爱丁堡大学The University of Edinburgh,76.0,3.0,14.4,442,92.5,81.3,72.4,725,免费评估
16,诺丁汉大学University of Nottingham,79.0,2.2,14.2,428,94.5,73.0,77.9,717,免费评估
17,莱斯特大学University of Leicester,84.0,1.9,14.7,399,92.7,66.8,71.5,715,免费评估
17,谢菲尔德大学The University of Sheffield,81.0,2.5,14.9,426,94.0,73.1,73.6,715,免费评估
19,南安普顿大学University of Southampton,79.0,2.1,13.6,427,93.0,75.3,68.3,714,免费评估
20,拉夫堡大学Loughborough University,85.0,2.3,17.1,390,89.2,69.6,69.2,710,免费评估
21,白金汉大学The University of Buckingham,88.0,,8.9,273,90.8,43.6,87.5,708,免费评估
22,格拉斯哥大学University of Glasgow,83.0,2.3,14.5,408,86.8,73.7,72.1,705,免费评估
23,伦敦大学亚非学院SOAS University of London,74.0,2.0,11.1,423,86.8,75.0,68.7,703,免费评估
24,伦敦国王学院King's College London,77.0,2.2,12.0,447,93.7,75.3,82.6,700,免费评估
25,纽卡斯尔大学Newcastle University,80.0,2.0,15.3,410,94.2,75.5,75.4,695,免费评估
26,伯明翰大学University of Birmingham,79.0,2.2,15.4,421,93.9,72.9,71.8,693,免费评估
27,东英吉利大学University of East Anglia,83.0,2.0,14.9,386,90.2,69.6,66.1,686,免费评估
28,伦敦大学皇家霍洛威学院Royal Holloway University of London,77.0,2.6,15.7,381,92.3,68.8,63.1,665,免费评估
29,萨里大学University of Surrey,77.0,1.9,19.0,388,91.6,66.0,76.4,663,免费评估
30,利兹大学University of Leeds,78.0,2.1,14.9,408,92.1,76.7,65.8,660,免费评估
31,利物浦大学The University of Liverpool,77.0,1.9,13.2,401,90.8,71.5,70.3,658,免费评估
32,曼彻斯特大学The University of Manchester,73.0,2.6,15.4,422,93.6,70.6,70.4,652,免费评估
33,雷丁大学University of Reading,79.0,2.1,15.5,370,91.0,67.3,66.3,649,免费评估
34,思克莱德大学University of Strathclyde,78.0,1.6,18.0,394,83.3,76.2,73.0,640,免费评估
35,卡迪夫大学Cardiff University,78.0,1.9,15.0,406,93.0,68.5,73.6,638,免费评估
36,阿斯顿大学Aston University,77.0,1.3,17.1,370,91.7,66.0,74.8,630,免费评估
37,伦敦大学玛丽女王学院Queen Mary University of London,78.0,2.1,13.6,387,89.4,64.4,71.7,628,免费评估
38,英国女王大学Queen's University Belfast,77.0,1.8,14.8,362,85.1,71.8,69.4,619,免费评估
39,肯特大学University of Kent,79.0,1.6,14.4,329,88.6,61.9,60.7,613,免费评估
40,邓迪大学University of Dundee,81.0,1.5,14.3,353,81.9,68.5,68.9,610,免费评估
41,埃塞克斯大学University of Essex,78.0,2.1,15.6,307,86.7,59.3,58.6,607,免费评估
42,阿伯丁大学University of Aberdeen,81.0,1.9,15.8,332,80.6,67.4,69.4,606,免费评估
43,亚伯大学Aberystwyth University,84.0,1.9,18.1,298,86.3,58.5,55.1,604,免费评估
