Ranking,University Name,Teaching quality,Student Satisfaction,Research Assessment,Ucasentry-points,Graduate Prospects,Firsts/2:1s,Completion,Student-Staff Ratio,Services / facilities Spend,Total Scores,Free
1,剑桥大学University of Cambridge,,,57.3,230,87.5,92.1,98.9,11.0,3510,1000,免费评估
2,牛津大学University of Oxford,,,53.1,221,85.3,92.8,98.2,10.3,3334,983,免费评估
3,圣安德鲁斯大学University of St Andrews,87.0,87.1,40.4,209,81.9,91.1,96.4,11.6,2635,930,免费评估
4,帝国理工学院Imperial College London,77.1,80.9,56.2,222,90.7,88.6,96.2,11.3,3423,872,免费评估
5,杜伦大学Durham University,82.5,79.4,39.0,201,84.1,89.5,95.9,14.5,2726,851,免费评估
6,兰卡斯特大学Lancaster University,83.4,84.3,39.1,159,84.9,77.5,92.7,13.0,3104,834,免费评估
7,伦敦大学学院University College London,,,51.0,193,82.1,88.8,94.8,10.4,2805,812,免费评估
7,拉夫堡大学Loughborough University,84.4,86.9,36.3,157,82.3,80.7,93.4,14.2,2864,812,免费评估
9,华威大学The University of Warwick,78.6,79.4,44.6,186,80.8,83.4,95.1,12.9,2605,792,免费评估
10,利兹大学University of Leeds,82.4,83.3,36.8,168,81.5,84.2,92.7,13.2,2987,790,免费评估
11,伦敦政治经济学院The London School of Economics and Political Science,67.5,65.7,52.8,203,87.1,86.1,95.4,11.4,2990,787,免费评估
12,巴斯大学University of Bath,81.4,81.5,37.3,186,85.2,85.9,94.8,15.7,2371,778,免费评估
13,东英吉利大学University of East Anglia,81.6,81.6,35.8,157,77.5,86.4,89.7,13.2,3153,774,免费评估
14,埃克塞特大学University of Exeter,80.6,81.7,38.0,179,84.1,85.1,95.5,16.4,2446,770,免费评估
15,伯明翰大学University of Birmingham,81.1,79.7,37.1,167,86.4,84.9,94.5,14.1,2665,759,免费评估
16,布里斯托大学University of Bristol,,,47.3,187,80.2,87.0,95.9,13.4,2094,741,免费评估
16,约克大学The University of York,83.4,81.8,38.3,163,81.5,81.2,92.3,14.5,1982,741,免费评估
18,诺丁汉大学University of Nottingham,80.6,80.1,37.8,164,83.3,83.1,94.0,13.8,2345,731,免费评估
19,萨里大学University of Surrey,81.7,81.4,29.7,169,76.8,83.6,90.6,15.4,2734,718,免费评估
20,格拉斯哥大学University of Glasgow,79.4,80.7,39.9,200,83.0,83.1,88.6,14.6,2300,714,免费评估
21,谢菲尔德大学The University of Sheffield,,,37.6,161,82.6,80.0,94.4,14.6,2276,711,免费评估
22,埃塞克斯大学University of Essex,79.9,81.3,37.2,130,79.6,72.0,87.9,16.0,3262,708,免费评估
23,邓迪大学University of Dundee,83.5,82.4,31.2,164,85.1,82.7,87.6,13.2,2013,706,免费评估
24,爱丁堡大学The University of Edinburgh,75.1,75.7,43.8,194,75.1,86.8,92.4,12.5,2164,705,免费评估
25,曼彻斯特大学The University of Manchester,,,39.8,170,82.5,78.4,93.1,13.3,2700,703,免费评估
26,纽卡斯尔大学Newcastle University,80.5,81.2,37.7,163,80.7,81.0,93.9,14.6,2097,696,免费评估
27,萨塞克斯大学University of Sussex,78.8,79.4,31.8,141,80.2,78.5,92.7,16.3,2710,690,免费评估
28,伦敦国王学院King's College London,,,44.0,174,84.1,85.8,93.6,12.0,2326,684,免费评估
28,伦敦大学皇家霍洛威学院Royal Holloway University of London,81.2,80.0,36.3,148,72.0,76.0,91.0,14.8,2265,684,免费评估
30,南安普顿大学University of Southampton,78.4,77.1,44.9,152,80.3,78.5,91.2,13.2,2190,682,免费评估
31,肯特大学University of Kent,78.5,78.6,35.2,138,82.6,79.6,90.4,13.3,1761,679,免费评估
32,雷丁大学University of Reading,78.2,77.2,36.5,142,75.6,81.2,91.5,14.4,2344,669,免费评估
33,哈珀亚当斯大学Harper Adams University,86.5,86.0,5.7,133,69.5,61.4,86.7,15.1,3174,666,免费评估
34,莱斯特大学University of Leicester,78.1,79.1,31.8,145,75.7,74.7,92.9,13.0,2702,663,免费评估
35,卡迪夫大学Cardiff University,77.9,78.3,35.0,157,78.9,79.1,93.0,12.9,2243,662,免费评估
36,伦敦大学亚非学院SOAS University of London,,,27.9,153,70.5,81.0,85.5,11.6,2050,659,免费评估
36,斯旺西大学Swansea University,81.1,81.3,33.7,129,82.6,78.0,89.6,15.2,2336,659,免费评估
38,英国女王大学Queen's University Belfast,79.9,79.7,39.7,153,79.9,77.9,91.2,15.6,2171,647,免费评估
39,赫瑞瓦特大学Heriot Watt University,77.0,77.4,36.7,167,76.8,77.4,87.6,16.6,2775,646,免费评估
40,阿伯丁大学University of Aberdeen,78.9,79.8,29.9,178,77.6,82.6,85.8,14.9,2290,645,免费评估
41,University of Strathclyde,78.9,78.3,37.7,202,80.0,79.2,88.0,19.7,1839,644,免费评估
42,利物浦大学The University of Liverpool,,,31.5,152,78.5,76.7,90.6,13.5,2210,637,免费评估
43,伦敦大学玛丽女王学院Queen Mary University of London,76.0,76.8,37.9,155,73.6,76.6,91.6,12.5,2604,630,免费评估
