Ranking,University Name,Student Satisfaction,Research Assessment,Ucasentry-points,Graduate Prospects,Firsts/2:1s,Completion,Student-Staff Ratio,Services / facilities Spend,Total Scores,Free
1,牛津大学University of Oxford,/,6.2,13.0,2671,522,98.6%,89.4%,78.6%,1000,免费评估
2,剑桥大学University of Cambridge,/,6.5,12.2,2097,530,97.9%,84.5%,87.9%,995,免费评估
3,帝国理工学院Imperial College London,3.9,5.8,9.7,2828,453,96%,72.4%,86%,960,免费评估
4,伦敦政治经济学院The London School of Economics and Political Science,3.9,6.3,13.2,1416,471,96.9%,74.6%,83%,915,免费评估
5,圣安德鲁斯大学University of St Andrews,4.1,5.3,15.4,1009,458,94.8%,79.7%,72.6%,841,免费评估
6,伦敦大学学院University College London,3.9,5.5,9.4,1623,429,94.3%,72.5%,79.8%,832,免费评估
7,华威大学The University of Warwick,/,5.6,17.1,1724,453,96.7%,79.3%,73%,813,免费评估
8,布里斯托大学University of Bristol,3.9,5.2,14.9,1426,440,95.8%,81.3%,76%,811,免费评估
9,杜伦大学Durham University,4,5.2,20.3,1250,452,96.4%,75.4%,75.8%,810,免费评估
10,伦敦国王学院King's College London,4,4.7,12.4,1546,399,93.2%,67.2%,79.8%,777,免费评估
11,巴斯大学University of Bath,3.8,5.2,16.7,1235,443,95.3%,76.8%,78.9%,764,免费评估
12,拉夫堡大学Loughborough University,4.1,4.3,17.6,1217,368,94%,63.8%,69.7%,755,免费评估
13,爱丁堡大学The University of Edinburgh,3.8,5.0,14.5,1254,458,92.2%,77.8%,76.4%,742,免费评估
14,南安普顿大学University of Southampton,4,5.4,16.7,1323,402,90.7%,71.3%,67.8%,738,免费评估
15,阿斯顿大学Aston University,3.9,3.9,14.6,1701,346,88.4%,64.3%,76.9%,734,免费评估
16,约克大学The University of York,3.9,5.5,15.0,1144,436,95.2%,71%,64.3%,733,免费评估
17,埃克塞特大学University of Exeter,4,4.7,16.8,1016,387,94.8%,74.6%,65.6%,726,免费评估
18,伦敦大学亚非学院SOAS University of London,3.8,5.3,9.5,1603,365,84.4%,69.2%,73.3%,722,免费评估
19,诺丁汉大学University of Nottingham,3.8,5.0,15.6,1368,431,96.2%,74.5%,70.7%,721,免费评估
20,东英吉利大学University of East Anglia,4.1,5.0,17.0,1104,364,91.2%,65.4%,59.2%,709,免费评估
21,莱斯特大学University of Leicester,4.1,4.5,16.2,1149,371,92.9%,62.5%,64.6%,705,免费评估
22,谢菲尔德大学The University of Sheffield,3.9,4.5,15.1,1085,408,92.4%,73.3%,70.3%,699,免费评估
23,纽卡斯尔大学Newcastle University,3.9,4.4,16.7,1402,390,92.3%,67.6%,72.9%,694,免费评估
24,伦敦大学皇家霍洛威学院Royal Holloway University of London,3.9,5.2,13.9,1093,356,88.2%,71.3%,61.9%,688,免费评估
25,雷丁大学University of Reading,4,4.9,16.8,914,358,91.7%,69.1%,64.5%,683,免费评估
26,伯明翰大学University of Birmingham,3.9,4.3,16.6,1200,389,92.4%,69.6%,70.2%,678,免费评估
27,兰卡斯特大学Lancaster University,3.9,5.4,15.8,1074,366,92.5%,64.2%,61%,670,免费评估
28,卡迪夫大学Cardiff University,3.9,4.5,13.9,1136,377,90.1%,66.3%,70.1%,658,免费评估
29,曼彻斯特大学The University of Manchester,3.8,5.1,14.6,1323,406,92.3%,68.8%,65.6%,656,免费评估
30,利兹大学University of Leeds,3.9,4.5,18.4,972,387,92.1%,71.2%,68%,653,免费评估
31,格拉斯哥大学University of Glasgow,3.9,4.3,13.9,1130,425,85.5%,64.8%,68%,650,免费评估
32,阿伯丁大学University of Aberdeen,/,4.0,13.9,1174,447,78.8%,64.3%,75.8%,648,免费评估
33,英国女王大学Queen's University Belfast,3.9,4.3,17.2,1164,363,86.6%,69.1%,73.2%,626,免费评估
34,利物浦大学The University of Liverpool,3.9,4.6,15.5,916,370,90%,64.8%,70.8%,625,免费评估
35,萨塞克斯大学University of Sussex,3.7,5.1,13.6,1136,382,88.3%,70.3%,61.6%,621,免费评估
36,埃塞克斯大学University of Essex,3.9,4.8,14.7,1111,316,83.4%,56.8%,63.2%,611,免费评估
37,斯特林大学University of Stirling,/,3.9,14.5,1027,334,89.9%,62%,66.9%,609,免费评估
38,肯特大学University of Kent,3.9,4.0,16.4,1093,324,87%,60.5%,65.1%,608,免费评估
39,亚伯大学Aberystwyth University,4.1,4.0,19.2,976,299,89.8%,61.1%,56.1%,607,免费评估
40,萨里大学University of Surrey,3.7,4.7,15.9,1089,341,86.8%,61.6%,79.1%,603,免费评估
41,伦敦城市大学City University London,3.9,3.7,18.7,748,318,85%,63.9%,80.6%,603,免费评估
42,伦敦大学玛丽女王学院Queen Mary University of London,3.8,4.7,12.8,1088,342,88.5%,61.6%,72.6%,599,免费评估
42,赫尔大学The University of Hull,4,3.2,19.0,761,294,83.9%,57.3%,71.1%,599,免费评估
44,斯凯莱德大学,/,3.6,18.3,998,429,81.8%,67.9%,71.2%,598,免费评估
45,赫瑞瓦特大学Heriot Watt University,/,4.2,16.8,1056,375,82.3%,57.9%,61%,551,免费评估
46,斯旺西大学Swansea University,3.9,4.4,16.9,979,289,88.3%,54.1%,60.1%,531,免费评估
47,班戈大学Bangor University,4,3.9,16.9,1042,290,77%,50%,65.8%,530,免费评估
48,布拉德福德大学University of Bradford,3.9,3.4,18.6,1105,265,82.2%,54.2%,75.8%,519,免费评估
49,牛津布鲁克斯大学Oxford Brookes University,3.9,1.6,17.0,908,295,84.9%,56.6%,72.1%,512,免费评估
50,邓迪大学University of Dundee,/,4.2,17.6,939,382,68.7%,58.6%,74.6%,502,免费评估
51,布鲁内尔大学Brunel University,3.7,3.1,16.7,1188,302,85.4%,63.7%,63.3%,496,免费评估
52,伦敦大学金史密斯学院Goldsmiths University of London,3.8,4.9,20.2,758,297,82.2%,58.9%,58.4%,486,免费评估
53,阿尔斯特大学University of Ulster,3.9,2.4,19.2,1345,279,77%,61.8%,59.2%,485,免费评估
54,基尔大学Keele University,3.8,4.0,18.1,693,314,84.3%,56%,64.1%,484,免费评估
55,罗伯特高登大学The Robert Gordon University,/,0.9,18.5,927,311,79.8%,53.4%,81.8%,480,免费评估
56,诺丁汉特伦特大学Nottingham Trent University,3.7,1.4,19.1,810,283,89.1%,53.3%,77.1%,456,免费评估
57,兰彼得大学University of Wales Lampeter,4,4.4,26.2,554,258,76.9%,60.5%,67.7%,453,免费评估
58,玛格丽特女王大学Queen Margaret University,/,1.5,21.3,710,333,77.7%,60.3%,75.2%,447,免费评估
59,伦敦艺术大学University of the Arts London,3.5,4.4,18.7,873,391,87.1%,57.9%,51.3%,442,免费评估
60,普利茅斯大学University of Plymouth,3.9,1.6,17.5,1017,275,81.2%,55.9%,55.5%,437,免费评估
61,布莱顿大学University of Brighton,3.8,1.7,18.1,805,280,83%,55.3%,64.2%,425,免费评估
62,伯恩茅斯大学Bournemouth University,3.7,0.7,18.5,851,278,85.2%,59.8%,63.7%,419,免费评估
62,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,/,1.2,18.1,767,354,74.8%,60%,61.6%,419,免费评估
64,斯塔福德大学,3.9,1.1,18.1,943,241,79.8%,52.2%,53.3%,399,免费评估
65,格拉摩根大学University of Glamorgan,3.9,1.3,16.3,1063,273,69.3%,52.1%,53.4%,397,免费评估
66,中央英格兰大学,3.8,0.8,16.2,1024,252,77.3%,57.7%,62.5%,396,免费评估
67,龙比亚大学Napier University,/,0.8,17.8,960,292,73.3%,57.4%,61.8%,393,免费评估
68,奇切斯特大学University of Chichester,3.9,1.7,21.0,652,242,88%,45.1%,59.2%,391,免费评估
69,温切斯特大学University of Winchester,3.9,1.5,20.6,746,265,84.5%,54.7%,49.4%,385,免费评估
70,中央兰开夏大学University of Central Lancashire,3.8,0.9,17.4,928,246,76.9%,48.1%,66.3%,383,免费评估
71,罗汉普顿大学Roehampton University,3.8,1.9,20.3,1257,237,79.5%,52.7%,55.6%,382,免费评估
72,西英格兰大学University of the West of England,3.8,1.6,19.8,867,266,80.6%,56.7%,59.8%,380,免费评估
73,诺桑比亚大学Northumbria University,3.8,1.1,21.9,1031,291,80.7%,52.4%,59.3%,375,免费评估
74,格罗斯特大学University of Gloucestershire,3.8,1.7,20.2,1000,242,80.5%,51.3%,53.7%,371,免费评估
75,坎特伯雷大学Canterbury Christ Church University,3.9,1.1,20.4,583,252,83.5%,45.8%,62.4%,366,免费评估
75,威尔士大学卡迪夫学院,3.8,0.8,20.7,1077,248,85.1%,48.4%,54.5%,366,免费评估
75,考文垂大学Coventry University,3.9,1.0,20.6,929,239,73.7%,56%,61.1%,366,免费评估
78,纽波特大学University of Wales Newport,3.9,0.5,19.1,826,228,74.9%,56.5%,56.7%,365,免费评估
79,朴茨茅斯大学University of Portsmouth,3.8,1.7,19.0,758,256,81.4%,48%,59.3%,363,免费评估
80,金斯顿大学Kingston University,3.8,1.2,18.3,882,228,78.6%,49.2%,64%,362,免费评估
81,桑德兰大学University of Sunderland,3.8,1.7,16.7,710,238,77%,50.4%,56.1%,360,免费评估
82,北安普顿大学The University of Northampton,3.9,1.0,19.4,692,221,80%,56.8%,55.4%,359,免费评估
83,索尔福德大学University of Salford,3.7,2.1,16.7,857,269,73.2%,53.5%,59.7%,356,免费评估
84,贝德福德大学University of Bedfordshire,/,0.6,23.4,1808,207,75.4%,41.1%,59.6%,348,免费评估
85,利物浦约翰摩尔斯大学Liverpool John Moores University,3.8,1.2,18.5,840,252,77.1%,48.4%,57.1%,335,免费评估
85,赫特福德大学University of Hertfordshire,3.8,1.4,18.5,860,235,75.9%,45.1%,61.9%,335,免费评估
86,谢菲尔德哈莱姆大学Sheffield Hallam University,3.7,1.1,23.8,911,270,85%,55.4%,61.2%,332,免费评估
88,巴斯斯巴大学Bath Spa University,3.7,1.5,24.4,502,264,85.7%,67.7%,54.8%,328,免费评估
89,伍斯特大学University of Worcester,3.8,0.8,20.2,828,221,80.8%,45.4%,63.1%,323,免费评估
90,曼彻斯特城市大学Manchester Metropolitan University,3.8,1.2,18.9,822,261,75.2%,47.8%,53.7%,319,免费评估
91,威斯敏斯特大学University of Westminster,3.7,1.2,17.5,739,229,80.5%,56.4%,53.5%,318,免费评估
92,哈德斯菲尔德大学University of Huddersfield,3.9,0.9,20.6,610,244,78.9%,46%,55.5%,317,免费评估
93,波尔顿大学University of Bolton,3.9,0.8,17.7,785,179,63.3%,51.7%,64.7%,316,免费评估
94,佩斯利大学,..,0.7,20.0,1085,313,68.7%,43.8%,55.5%,311,免费评估
95,蒂赛德大学Teesside University,3.9,0.7,20.7,705,236,74.4%,44.6%,63%,310,免费评估
96,利兹都会大学Leeds Metropolitan University,3.7,0.8,23.2,928,263,82.7%,49%,59.5%,305,免费评估
97,德蒙福特大学De Montfort University,3.7,1.4,21.5,753,246,80.6%,47.7%,63.8%,303,免费评估
98,德比大学University of Derby,3.8,0.9,22.4,978,215,77%,49.8%,57.1%,298,免费评估
99,东伦敦大学University of East London,/,1.4,22.3,1298,190,68.5%,40%,58%,284,免费评估
100,切斯特大学University of Chester,3.8,0.5,17.8,672,253,76.1%,46.1%,48.4%,280,免费评估
100,阿伯泰邓迪大学University of Abertay Dundee,/,0.7,19.8,1478,214,64%,47.2%,51.9%,280,免费评估
102,约克圣约翰大学York St John University,3.7,0.4,25.6,780,266,85.4%,49.9%,61.7%,276,免费评估
103,伦敦南岸大学London South Bank University,/,1.3,23.1,800,191,72%,51.7%,61.9%,270,免费评估
104,剑桥安鲁大学Anglia Ruskin University,3.8,0.5,19.9,615,242,64.8%,52.7%,61.5%,262,免费评估
105,南安普顿索伦特大学Southampton Solent University,3.7,0.5,21.6,940,224,78.2%,43.9%,48.8%,247,免费评估
106,艾芝西尔大学Edge Hill University,3.9,0.4,22.8,248,243,78.3%,38.1%,55.7%,242,免费评估
107,哥比亚大学University of Cumbria,3.6,0.6,22.8,626,257,76.6%,46.5%,70.7%,229,免费评估
108,米德塞斯大学Middlesex University,3.7,1.3,29.6,1576,189,71.9%,46.5%,55.7%,219,免费评估
109,林肯大学University of Lincoln,3.6,0.7,26.3,793,255,83.9%,52.3%,48.9%,214,免费评估
109,格林威治大学The University of Greenwich,3.7,1.2,24.0,791,210,79.7%,42.3%,57.3%,214,免费评估
111,泰晤士河谷大学Thames Valley University,3.6,0.4,19.4,586,202,69.5%,48.7%,61.9%,209,免费评估
112,伍尔弗汉普顿大学University of Wolverhampton,3.7,0.6,21.2,917,204,73.9%,43.5%,52.6%,207,免费评估
113,利物浦霍普大学学院,3.7,0.7,24.3,833,220,73.6%,47%,52.6%,191,免费评估
