Ranking,University Name,Student Satisfaction,Research Assessment,Student-Staff Ratio,Services / facilities Spend,Entry Standards,Completion,Good Honors,Graduate Prospects,Total Scores,Free
1,牛津大学University of Oxford,85%,3.5,10.8,3396,524,97.7%,91.1%,82.3%,1000,免费评估
2,剑桥大学University of Cambridge,86%,3.7,11.6,2385,539,99%,87%,85.5%,968,免费评估
3,帝国理工学院Imperial College London,75%,2.7,10.3,3518,489,97.1%,68.5%,88.4%,859,免费评估
4,圣安德鲁斯大学University of St Andrews,84%,2.5,12.4,1423,468,94.2%,85.1%,77.8%,792,免费评估
5,伦敦大学学院University College London,77%,2.7,8.9,1784,452,92%,80.4%,82.9%,775,免费评估
6,华威大学The University of Warwick,77%,2.4,13.1,2118,463,96%,79.7%,79.2%,772,免费评估
7,伦敦政治经济学院The London School of Economics and Political Science,73%,2.8,13.3,1699,483,96.5%,76%,90.6%,768,免费评估
8,杜伦大学Durham University,79%,2.5,14.8,1578,459,96.7%,77.5%,78.3%,749,免费评估
9,埃克塞特大学University of Exeter,85%,2.5,17.5,1378,394,94.8%,79.4%,71.7%,723,免费评估
10,布里斯托大学University of Bristol,74%,2.6,13.1,1657,447,95.6%,81.5%,82%,722,免费评估
11,约克大学The University of York,79%,2.5,13.1,1534,434,96%,74.9%,69.4%,711,免费评估
12,伦敦国王学院King's College London,76%,2.0,11.4,1821,415,92.3%,72.8%,83.2%,709,免费评估
13,巴斯大学University of Bath,78%,2.0,15.0,1358,440,95.7%,75.1%,81.9%,705,免费评估
14,爱丁堡大学The University of Edinburgh,74%,2.8,12.4,1511,447,90.4%,80.6%,76.9%,704,免费评估
15,南安普顿大学University of Southampton,78%,2.0,13.9,1562,407,93.7%,74.6%,76.5%,693,免费评估
15,莱斯特大学University of Leicester,84%,1.9,14.7,1489,360,93%,71.6%,76.2%,693,免费评估
17,拉夫堡大学Loughborough University,85%,2.1,17.0,1340,368,91.3%,67.7%,75.7%,691,免费评估
18,谢菲尔德大学The University of Sheffield,78%,2.4,14.2,1191,406,92.1%,74.5%,79.1%,684,免费评估
19,格拉斯哥大学University of Glasgow,79%,2.2,13.2,1377,412,86.6%,71.3%,75.4%,671,免费评估
20,诺丁汉大学University of Nottingham,76%,2.1,13.7,1402,408,95.7%,74.3%,76.3%,668,免费评估
21,纽卡斯尔大学Newcastle University,77%,2.0,14.9,1504,405,92.2%,72.2%,79.4%,664,免费评估
22,伯明翰大学University of Birmingham,78%,2.1,14.9,1552,403,93.6%,70.9%,72.7%,663,免费评估
23,兰卡斯特大学Lancaster University,79%,2.4,13.7,1407,388,93.3%,69.6%,64.3%,661,免费评估
24,曼彻斯特大学The University of Manchester,73%,2.4,13.6,1489,412,91.6%,70.4%,73.8%,641,免费评估
25,阿斯顿大学Aston University,80%,1.2,16.5,1507,365,91%,63.6%,78.1%,631,免费评估
26,卡迪夫大学Cardiff University,77%,1.8,14.7,1177,394,92.4%,66.8%,77.6%,630,免费评估
27,利兹大学University of Leeds,76%,2.0,13.9,1143,392,91.9%,73.4%,71.1%,627,免费评估
28,东英吉利大学University of East Anglia,83%,1.8,17.1,1231,361,85.4%,70.1%,71.9%,622,免费评估
28,利物浦大学The University of Liverpool,76%,1.8,12.2,1273,387,91.2%,68.8%,72.5%,622,免费评估
30,伦敦大学皇家霍洛威学院Royal Holloway University of London,75%,2.3,14.5,1308,365,92.9%,70.3%,69.8%,617,免费评估
31,雷丁大学University of Reading,79%,2.1,16.7,1062,347,91.7%,75.4%,68.7%,612,免费评估
32,英国女王大学Queen's University Belfast,78%,1.7,15.2,1362,358,85%,69%,78.3%,611,免费评估
33,伦敦大学亚非学院SOAS University of London,72%,1.7,10.8,1829,378,82.6%,73.2%,73.5%,607,免费评估
33,阿伯丁大学University of Aberdeen,81%,1.9,15.1,1194,363,77.3%,67.6%,74.4%,607,免费评估
35,萨塞克斯大学University of Sussex,74%,2.2,15.5,1117,378,90.1%,81.7%,70.6%,606,免费评估
36,伦敦大学玛丽女王学院Queen Mary University of London,76%,2.0,13.0,1161,346,88.5%,64.2%,77.3%,600,免费评估
37,斯凯莱德大学,76%,1.6,19.1,1344,394,83.1%,73.9%,78.1%,596,免费评估
37,萨里大学University of Surrey,76%,1.8,16.8,1202,352,88.8%,65.1%,80%,596,免费评估
39,肯特大学University of Kent,81%,1.4,17.1,1148,317,87.8%,61.7%,71.8%,566,免费评估
40,赫瑞瓦特大学Heriot Watt University,75%,1.7,15.6,1183,350,80.3%,65.5%,76.2%,558,免费评估
41,邓迪大学University of Dundee,78%,1.5,14.0,1124,371,71.4%,65.8%,75.6%,554,免费评估
42,基尔大学Keele University,77%,1.2,14.3,1148,319,89.1%,64.4%,70.4%,552,免费评估
43,埃塞克斯大学University of Essex,76%,1.8,13.7,1385,302,87.4%,61%,62.7%,550,免费评估
44,赫尔大学The University of Hull,81%,1.1,18.7,1096,285,87%,57.7%,73.2%,530,免费评估
45,伦敦大学金史密斯学院Goldsmiths University of London,72%,2.1,12.7,806,318,85.7%,65.2%,69%,529,免费评估
46,亚伯大学Aberystwyth University,81%,1.7,17.6,1047,310,87.5%,61.1%,53%,522,免费评估
47,布鲁内尔大学Brunel University,72%,1.6,17.8,1576,319,86.4%,64.9%,67.9%,516,免费评估
48,斯特林大学University of Stirling,76%,1.3,14.2,958,288,81.5%,64.3%,69.8%,512,免费评估
49,伦敦城市大学City University London,72%,1.2,17.8,993,316,84.3%,66.6%,81.4%,511,免费评估
50,斯旺西大学Swansea University,78%,1.5,14.7,1122,304,87.3%,50.3%,62.5%,506,免费评估
51,罗伯特高登大学The Robert Gordon University,..,0.6,18.0,1102,332,81.8%,53.2%,84.1%,504,免费评估
52,牛津布鲁克斯大学Oxford Brookes University,77%,0.6,18.4,997,301,83.9%,66.1%,73%,496,免费评估
53,布拉德福德大学University of Bradford,75%,1.0,15.0,1176,270,82.3%,62.8%,70.4%,492,免费评估
54,阿尔斯特大学University of Ulster,75%,1.0,15.9,1548,268,77.4%,61.4%,65%,487,免费评估
55,班戈大学Bangor University,77%,1.5,18.9,998,283,83.9%,55.7%,67.8%,480,免费评估
56,朴茨茅斯大学University of Portsmouth,79%,0.5,18.7,1158,271,86.1%,52.4%,63.9%,463,免费评估
57,诺丁汉特伦特大学Nottingham Trent University,74%,0.4,17.1,1144,276,86.2%,55.7%,74.1%,462,免费评估
58,伯恩茅斯大学Bournemouth University,74%,0.4,20.8,1059,289,85.2%,58.9%,75.5%,450,免费评估
59,奇切斯特大学University of Chichester,81%,0.2,18.3,851,234,89.2%,49.3%,64%,445,免费评估
60,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,75%,0.3,21.0,933,328,76.8%,66.5%,68.8%,443,免费评估
61,玛格丽特女王大学Queen Margaret University,..,0.4,20.0,885,328,78.5%,65.3%,69.2%,442,免费评估
62,西英格兰大学University of the West of England,76%,0.5,19.2,995,275,78.8%,63.2%,66.1%,436,免费评估
