Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
1,加利福尼亚理工学院California Institute of Technology,United States of America,95.6,64.0,97.6,99.8,97.8,95.2,免费评估
2,牛津大学University of Oxford,United Kingdom,86.5,94.4,98.9,98.8,73.1,94.2,免费评估
3,斯坦福大学Stanford University,United States of America,92.5,76.3,96.2,99.9,63.3,93.9,免费评估
4,剑桥大学University of Cambridge,United Kingdom,88.2,91.5,96.7,97.0,55,92.8,免费评估
5,麻省理工学院Massachusetts Institute of Technology,United States of America,89.4,84.0,88.6,99.7,95.4,92.0,免费评估
6,哈佛大学Harvard University,United States of America,83.6,77.2,99.0,99.8,45.2,91.6,免费评估
7,普林斯顿大学Princeton University,United States of America,85.1,78.5,91.9,99.3,52.1,90.1,免费评估
8,帝国理工学院Imperial College London,United Kingdom,83.3,96.0,88.5,96.7,53.7,89.1,免费评估
9,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,77.0,97.9,95.0,91.1,80,88.3,免费评估
10,芝加哥大学The University of Chicago,United States of America,85.7,65.0,88.9,99.2,36.6,87.9,免费评估
11,约翰霍普金斯大学Johns Hopkins University,United States of America,77.6,70.0,90.4,98.2,100,87.6,免费评估
12,耶鲁大学Yale University,United States of America,86.5,64.3,87.8,97.2,43.3,87.4,免费评估
13,"University of California, Berkeley",United States of America,80.4,61.9,91.1,99.7,47.9,87.2,免费评估
14,伦敦大学学院University College London,United Kingdom,78.1,94.4,91.0,94.2,40.5,87.1,免费评估
15,哥伦比亚大学Columbia University,United States of America,85.9,73.5,82.2,98.1,-,86.1,免费评估
16,"University of California, Los Angeles",United States of America,80.8,56.4,88.6,98.5,47.9,85.8,免费评估
17,宾夕法尼亚大学University of Pennsylvania,United States of America,82.0,49.5,86.9,98.6,47.9,85.2,免费评估
18,康奈尔大学Cornell University,United States of America,77.9,63.9,86.1,97.2,33.7,84.0,免费评估
19,多伦多大学University of Toronto,Canada,75.9,77.8,89.3,90.9,49.1,83.9,免费评估
20,杜克大学Duke University,United States of America,76.0,56.5,78.0,99.0,100,82.7,免费评估
21,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",United States of America,76.8,53.7,85.2,94.4,56.3,82.4,免费评估
22,卡内基梅隆大学Carnegie Mellon University,United States of America,67.4,57.1,88.8,99.1,57.5,82.3,免费评估
23,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,69.8,93.6,80.6,94.3,32.2,81.3,免费评估
24,爱丁堡大学The University of Edinburgh,United Kingdom,68.6,89.8,77.2,96.3,36.1,80.3,免费评估
25,西北大学Northwestern University,United States of America,69.8,53.9,78.4,96.5,81.2,79.5,免费评估
26,National University of Singapore,Singapore,71.7,96.2,84.5,79.4,49.8,79.2,免费评估
27,伦敦国王学院King's College London,United Kingdom,64.5,93.8,75.8,93.8,40.1,78.2,免费评估
28,Karolinska Institute,Sweden,60.6,73.1,81.1,92.2,75.8,77.5,免费评估
29,LMU Munich,Germany,70.5,62.8,77.4,85.7,100,77.3,免费评估
30,New York University,United States of America,74.7,49.3,72.3,95.3,30.4,77.2,免费评估
31,école Polytechnique Fédérale de Lausanne,Switzerland,61.3,98.6,67.5,94.6,65.4,76.1,免费评估
32,University of Washington,United States of America,67.1,51.2,70.0,98.6,43.1,75.6,免费评估
33,墨尔本大学The University of Melbourne,Australia,62.0,87.1,75.5,86.6,64.6,75.4,免费评估
34,英属哥伦比亚大学University of British Columbia,Canada,60.2,90.5,73.2,91.5,42.6,75.3,免费评估
35,KU Leuven,Belgium,59.9,68.6,76.9,87.3,100,74.8,免费评估
36,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,United States of America,64.5,45.8,81.2,86.8,52.8,74.5,免费评估
37,Heidelberg University,Germany,68.8,62.8,69.6,88.2,68.2,74.4,免费评估
38,麦吉尔大学McGill University,Canada,66.1,85.5,72.1,78.9,40.3,72.6,免费评估
39,"University of California, San Diego",United States of America,56.9,42.9,69.8,98.7,56.7,72.2,免费评估
39,"University of California, Santa Barbara",United States of America,52.6,61.5,66.0,99.2,90.4,72.2,免费评估
41,佐治亚理工学院Georgia Institute of Technology,United States of America,57.8,71.5,72.7,86.0,73.7,72.1,免费评估
42,Peking University,China,77.8,49.2,72.4,69.1,100,72.0,免费评估
43,University of Tokyo,Japan,81.4,30.3,83.0,60.9,50.8,71.1,免费评估
44,"University of California, Davis",United States of America,60.1,58.4,72.7,84.3,57.3,71.0,免费评估
44,University of Hong Kong,Hong Kong,64.6,99.5,72.8,70.1,53.7,71.0,免费评估
46,University of Texas at Austin,United States of America,59.3,31.7,69.7,92.2,63.1,70.3,免费评估
47,Tsinghua University,China,73.3,39.5,83.0,58.8,100,70.0,免费评估
47,Wageningen University and Research Center,Netherlands,52.6,70.3,66.9,87.8,100,70.0,免费评估
49,Humboldt University of Berlin,Germany,63.7,62.6,77.0,73.6,36.1,69.9,免费评估
50,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,United States of America,65.1,33.0,68.2,86.6,48.5,69.7,免费评估
51,布朗大学Brown University,United States of America,62.8,57.8,55.7,96.4,31.4,69.6,免费评估
52,澳大利亚国立大学The Australian National University,Australia,54.7,93.3,77.3,72.3,48,69.5,免费评估
53,Technical University of Munich,Germany,61.0,63.8,66.0,80.1,99.2,69.4,免费评估
54,école Normale Supérieure,France,70.6,85.5,47.7,87.1,37.1,69.0,免费评估
