Ranking,University Name,Teaching quality,Student Satisfaction,Research Assessment,Ucasentry-points,Graduate Prospects,Firsts/2:1s,Completion,Student-Staff Ratio,Services / facilities Spend,Total Scores,Free
1,剑桥大学University of Cambridge,86.8,86.3,57.3,602,89.3,89.3,98.4,11.3,3432,1000,免费评估
2,牛津大学University of Oxford,83.1,86.8,53.1,573,87.1,92.1,96.3,10.6,3229,974,免费评估
3,帝国理工学院Imperial College London,79.8,87.8,56.2,568,91.1,87.3,96.5,11.3,2974,886,免费评估
4,圣安德鲁斯大学University of St Andrews,83.2,86.8,40.4,517,83.3,89.6,95.3,11.4,2572,876,免费评估
5,杜伦大学Durham University,81.9,86.7,39.0,523,84.4,87.4,96.6,14.9,2648,860,免费评估
6,华威大学The University of Warwick,79.6,85.0,44.6,482,79.8,82.3,96.7,12.6,2505,813,免费评估
7,埃克塞特大学University of Exeter,82.6,87.7,38.0,463,79.8,84.1,95.7,15.6,2559,810,免费评估
8,萨里大学University of Surrey,86.9,90.3,29.7,424,78.8,78.9,92.2,13.7,2487,805,免费评估
9,伦敦政治经济学院The London School of Economics and Political Science,72.1,78.4,52.8,533,78.5,82.1,94.8,11.4,2584,802,免费评估
10,伦敦大学学院University College London,74.2,81.3,51.0,502,83.1,87.9,94.6,10.3,2608,800,免费评估
11,兰卡斯特大学Lancaster University,82.3,85.4,39.1,436,82.5,76.9,93.5,13.7,2566,799,免费评估
12,巴斯大学University of Bath,82.7,87.0,37.3,479,85.2,84.1,96.1,16.2,2023,792,免费评估
13,拉夫堡大学Loughborough University,84.5,89.3,36.3,397,83.7,79.8,93.2,14.7,2339,791,免费评估
14,利兹大学University of Leeds,83.7,88.0,36.8,431,78.4,82.2,93.5,13.6,2418,779,免费评估
15,约克大学The University of York,81.7,86.6,38.3,437,76.0,81.6,94.3,14.7,2163,756,免费评估
16,南安普顿大学University of Southampton,79.3,86.5,44.9,411,78.1,80.4,92.5,12.0,2221,755,免费评估
17,伯明翰大学University of Birmingham,80.8,84.2,37.1,426,86.7,84.4,94.8,15.5,2461,751,免费评估
18,东英吉利大学University of East Anglia,83.2,88.8,35.8,408,70.3,78.8,91.9,13.7,2378,743,免费评估
19,萨塞克斯大学University of Sussex,78.6,85.0,31.8,386,84.1,78.6,92.9,15.5,2618,738,免费评估
20,布里斯托大学University of Bristol,75.5,81.5,47.3,487,79.6,86.3,96.6,13.7,1976,720,免费评估
21,谢菲尔德大学The University of Sheffield,81.3,87.2,37.6,428,75.7,80.4,94.4,14.9,2031,718,免费评估
22,爱丁堡大学The University of Edinburgh,74.5,82.4,43.8,484,78.6,83.0,91.3,12.2,2052,716,免费评估
23,肯特大学University of Kent,81.5,85.4,35.2,363,76.7,80.0,90.7,12.9,1513,713,免费评估
23,纽卡斯尔大学Newcastle University,82.0,88.4,37.7,424,79.1,79.2,95.1,15.6,1807,713,免费评估
25,诺丁汉大学University of Nottingham,79.5,83.9,37.8,428,81.3,79.3,93.2,14.0,2055,710,免费评估
26,格拉斯哥大学University of Glasgow,80.0,86.9,39.9,470,79.3,77.8,88.4,14.7,2142,704,免费评估
27,伦敦国王学院King's College London,73.9,79.7,44.0,455,85.7,83.2,92.8,11.3,2198,699,免费评估
28,莱斯特大学University of Leicester,77.5,84.4,31.8,386,72.1,78.3,92.5,12.2,2600,695,免费评估
28,曼彻斯特大学The University of Manchester,79.0,84.7,39.8,435,78.5,75.7,92.9,13.2,1926,695,免费评估
30,阿斯顿大学Aston University,83.3,87.9,25.8,369,78.8,75.1,90.9,15.5,1997,693,免费评估
31,英国女王大学Queen's University Belfast,81.6,87.3,39.7,385,78.7,75.8,91.0,14.9,1996,688,免费评估
32,雷丁大学University of Reading,80.5,85.8,36.5,373,70.3,76.2,92.3,14.1,1900,687,免费评估
33,卡迪夫大学Cardiff University,80.7,86.0,35.0,426,80.1,77.8,93.4,14.2,1638,685,免费评估
34,伦敦大学玛丽女王学院Queen Mary University of London,80.5,83.3,37.9,411,73.3,75.3,91.2,12.2,2347,681,免费评估
35,埃塞克斯大学University of Essex,83.7,88.0,37.2,313,64.1,68.9,85.6,15.1,2574,674,免费评估
36,伦敦大学皇家霍洛威学院Royal Holloway University of London,82.6,84.1,36.3,398,62.7,75.9,92.3,15.3,1665,673,免费评估
37,邓迪大学University of Dundee,84.4,87.1,31.2,410,80.0,76.1,86.0,13.9,1545,669,免费评估
